text,intent
i have got to list the payment options how can i do it,payment_methods
i lost my invoices from show them to me,payment_methods
i have got to give a quick look at bill 37777,payment_methods
is it possible to purchase several bloody items,order_status
help lodging a reclamation,general_support
help to unsubscribe frmo your company newsletter,general_support
i cannot open a profile can i report bloody signup errors,account_help
i want help talking with an operator,contact_support
i have got to make an consumer claim against ur business,general_support
i do not know what i have to do to delete my premium account,account_help
need to get a rebate of my money,return_refund
need help to earn an item,order_status
wanna correct order,order_status
how can i file a customer complaint against your company,general_support
i have to check your available payment modalities,payment_methods
help me to lodge a reclamation against your company,general_support
support submitting another delivery address,shipping_info
can you help me contact osmeone,contact_support
i need to enter another shipping address could you help me,shipping_info
i do not know what i need to do to download my bill 85632,payment_methods
see the invoice 00108,payment_methods
where to order several products,order_status
assistance to check when will my product arrive,shipping_info
i don t know how i can get in touch with customer support,contact_support
i have to look for bill 12588,payment_methods
the payment failed how to report an error with payment,payment_methods
inform of a problem with sign up,account_help
i m trying to find information about my pin recovery,account_help
i do not know what to do to see the early exit penalty,general_support
help checking your money back policy,return_refund
can ya help me see how soon can i expect my item,shipping_info
i need assistance to chat with a human agent,contact_support
i cannot find my invoice 12588 will you mail it to me,payment_methods
i dont know how i can see the delivery options,shipping_info
how can i update the user info,account_help
rebate,return_refund
i don t have a account help registering,account_help
i want help to check in what cases can i ask for a reufnd,return_refund
changing data on gold account,account_help
i want to speak to customer service can you help me,contact_support
i need support editing my shipping adress,shipping_info
need assistance unsubscrbiing from the corporate newsletter,general_support
i want to see how long the shipping takes how can i do it,shipping_info
i need hepp using the standard account,account_help
i want assistance talking with somebody,contact_support
seeing withdrawal charges,general_support
i need to see at what time customer service available is,contact_support
i need to lodge a customer claim against your business,general_support
problems creating profile,account_help
cani file a customer claim,general_support
can uhelp me check the bloody allowed paymentmethods,payment_methods
help me to sign up to the corporate newsletter,account_help
i cant inform of sign up errors,account_help
i want help to see the shipment options,shipping_info
i do not know how to earn several of your item,order_status
i don t have a premium account how do i sign up,account_help
i do not know what i need to do to make a consumer claim,general_support
i have got to see the delivery methods can i get some help,shipping_info
help shopping some of ur article,order_status
want assistance entering a seconxary shipping address,shipping_info
i do not know what i have to do to look for bill 12588,payment_methods
where to edit my delivery address,shipping_info
i need help seeing purchase current status,order_status
can you help me purchasing a damn item,order_status
correcting information on account,account_help
where to get my bill 00108,payment_methods
where can i make a consumer claim against your company,general_support
could you help me see the status of order,order_status
assistance seeing the invoice from,payment_methods
can ya help me update my delivery address,shipping_info
what do i have to do to check when will my parcel arrive,shipping_info
checking invoices from 9 months ago,payment_methods
help me to use the premium profile,account_help
give me information about the options for shipping,shipping_info
can i use the gold profile,account_help
i dont know how to speak with customer service,contact_support
i awnt to lodge a customer complaint against your company,general_support
is it possible to inform of an error with online payments,payment_methods
i need help informing of errors with payment,payment_methods
i need to purchase several items how can i do it,order_status
wanna see what hours cdustomer support available is,contact_support
help me see under which circumstances can i ask for a refund,return_refund
i m trying to retrieve the password of my profile,account_help
want help to open a account for my dad,account_help
i dont know what to do to switch to the account,account_help
i have to inform of errors with payment i need assistance,payment_methods
check the available delivery options,shipping_info
downlpoad bills from,payment_methods
i don t know what to do to inform of a problem with payment,payment_methods
uhave a method to leave an opinion about ur services,general_support
assistance editing the shipping address,shipping_info
can ya help me checking what methds for delivery ya offer,shipping_info
i am not happy with your service how can i make a claim,general_support
i am unhappy with your services help filing a claim,general_support
i have got to check the shipment methods how to do it,shipping_info
help to report an error with signup,account_help
i want help to check order current status,order_status
i do not know what to do to cancel order,order_cancel
make consumer reclamation against your business,general_support
i need to see at what time i can reach customer assistance,contact_support
want assistance to file a consumer claim against ur company,general_support
where do i inform of goddamn problems with online paymnts,payment_methods
i need assistance to check the early terminaion charge,general_support
i want help to file a customer complaint,general_support
i have paid for an article i want an refund,return_refund
i don t know how to change the personal information,account_help
can i talk with an agent,contact_support
i need assistance to solve a trouble with online payment,payment_methods
i want help seeing the cancellation charge,general_support
is it possible to see the early termination charges,general_support
i want to set my secondary delivery address up,shipping_info
what do i needto do to see the early termination fee,general_support
i need to see the termination penalty how can i do it,general_support
i have got to call customer support how could i do it,contact_support
reporting registration issues,account_help
i want assistance entering my delivery address,shipping_info
find information about the shipping methods,shipping_info
delete standard acvount,account_help
could you help me talk to an assistant,contact_support
where do i update the delivery address,shipping_info
i do not know how i can receive rebates of my money,return_refund
i want assistance to earn several products,order_status
problem with my forgotten pin,account_help
want help to write an opinion about a product,product_search
could i talk to customer support,contact_support
report problems with online payments,payment_methods
could you help me see how soon can i expect my package,shipping_info
can ya help me informing of problems with online payment,payment_methods
i have got to use the profile i need help,account_help
is there a way to leave some feedback for your products,product_search
where do i recover the pin of my account,account_help
can i check at what time customer service available is,contact_support
i have an error modifying the address,shipping_info
is it possible to chat with a human agent,contact_support
how can i see what hours i cn contact customer support,contact_support
is it possible to inmform of errors with a registration,account_help
i can t make a payment inform of an error with payment,payment_methods
i try to check at what time i can reach customer assistance,contact_support
i don t know how i can see when will my parcel arrive,shipping_info
help with adding a goddamn item to ordr,order_status
do you have a mail to get in touch with customer assistance,contact_support
can utell me more about modifying my delivery address,shipping_info
i don t know how i can file a consumer claim,general_support
i can t cancel the subscription to your corporate newsletter,general_support
there is an issue submitting the secondary shipping address,shipping_info
i have to report payment problems,payment_methods
i want help checking what methods for delivery are available,shipping_info
idont use my account want assistance to remove it,account_help
question about the passowrd reset,account_help
i do not know what i need to do to acquire a product,order_status
help to list your allowed payment options,payment_methods
wanna earn some of ur article,order_status
i do not know what i have to do to get the invoice 37777,payment_methods
i m trying to get my damn bills from,payment_methods
i have to see order current status i need help,order_status
i want to see my compensation current status,return_refund
i paid for this purchase want help receiving a refund,order_status
chatting with humnan agent,contact_support
how could i use the standard profile,account_help
i don t know what to do to report problems witha sign up,account_help
i dont know what i need to do to inform of payment errors,payment_methods
i want assistance listing the payment methods,payment_methods
i want to notify of an error with payments,payment_methods
can ya tell me more abuot unsubscribing from ur newsletter,general_support
could uhelp me correct order,order_status
there are issues correcting my shipping address,shipping_info
can i cancel the bloody usbscription to ur newsletter,general_support
how could i see what hours i can call customer assistance,contact_support
i do not know how i could get bill 12588,payment_methods
i do not know how i can submit my feedback for your products,product_search
help requesting a compensation,return_refund
assistance cancelling my newsletter subscription,general_support
i can t sign up i have to report a sign up error,account_help
you are not helpful i want assistance talking with someone,contact_support
can i open a account for my daughter,account_help
i do not know what to do to purchase some articles,order_status
acn i make a consumer reclamation against your business,general_support
i want help to enter a damn secondary delivery address,shipping_info
help me to inform of an issue with online payment,payment_methods
i need to earn several bloody items how could i do it,order_status
want assistance to shop several of ur article,order_status
can you help me switching to the account,account_help
want assistance deleting some items from order,order_status
want help signing up to ur newsletter,general_support
customer complaint against your business,general_support
help informing of a problem with online payments,payment_methods
i m trying to enter an shipping address,shipping_info
i dont know how i can talk to a human agent,contact_support
i have to lodge a consumerr claim against your company,general_support
i need assistance locating my fucking bill from,payment_methods
problem with the removal of my account,account_help
problem entering the shipping address,shipping_info
i do not know what i need to do to report a sign up issue,account_help
can you help me submit feedback for a service,general_support
i do not know how to lodge a complaint against ur business,general_support
i want help to swap several products of purchase,order_status
how do i file a consumer complaint against your company,general_support
can ya help me shop some articles,order_status
update inforemation on premium account,account_help
i want to see when will my package arrive can you help me,shipping_info
what do i need to od to download my invoice 37777,payment_methods
talking to live agent,contact_support
need help removing several items from order,order_status
cancel purchase00004587345,order_cancel
i want assistance to close the account,account_help
i would like to talk with customer support how do i do it,contact_support
wanna add some products to order,order_status
can you show me when my product is going to arrive,shipping_info
could i sawitch to the pro account,account_help
how to open a account for my fiance,account_help
i dont know how to request restitutions of my money,return_refund
i need to use the bloody profile can you help me,account_help
i have to retrieve the key of my user,account_help
where do i restore my user account pass,account_help
what do i need to do to download the bill 00108,payment_methods
can ya tell me about an address correction,shipping_info
can uhelp me to chat with somebody,contact_support
make order,order_status
problems with a delivery address modification,shipping_info
want help opening a account,account_help
can i see ur available payment modalities,payment_methods
need to check in which cases can i ask for reimbursements,return_refund
i need to cancel order,order_cancel
where do i check when my package is going to arrive,shipping_info
how do i write a comment about your services,general_support
buy several articles,order_status
can you help me correct my goddamn shipping address,shipping_info
i don t know how i can write a comment about your services,general_support
i have to see how long the delivery takesi need help,shipping_info
how do i find my invoice 00108,payment_methods
i would like to talk to a operator,contact_support
check what payment methods ya accept,payment_methods
uhave a free number to get in touch with customer assistance,contact_support
need assistance shopping some of your product,order_status
edting info on standard account,account_help
were can i see the allowed payment modalities,payment_methods
i have got to open a account for my daughter,account_help
i don t know how i can receive reimbursements of money,return_refund
help to call customer assistance,contact_support
assistance to file a claim against ur company,general_support
getting invoice,payment_methods
what do i have to do to check ur damn reimbursement policy,return_refund
change to the pro account,account_help
i try to submit a ne delivery address,shipping_info
i need help to see the early exit fees,general_support
problem with creating a gold account,account_help
help updating purchase,order_status
helo to contact an assistant,contact_support
help seeing the current status of purchase,order_status
want assistance to see the terminatoin charges,general_support
help me see in what cases can i ask to be reimbursed,return_refund
what do i need to do to call customer assistance,contact_support
i don t know how i can shop several articles,order_status
awnna set my shipping address up,shipping_info
i try to check what shipment methods are there,shipping_info
help me chsnge the delivery address,shipping_info
could i make a customer claim against your organization,general_support
help me check what hours i can call customer service,contact_support
could i speak to a live agent,contact_support
where can i shop several of your article,order_status
i have got to give a quick look at my bills from,payment_methods
want supports trying to edit my address,shipping_info
can you help me receiving your fucking corporate newslettee,general_support
i cant set up my new shipping address,shipping_info
want help to see purchase status,order_status
i need to check in which cases can i request reimbursements,return_refund
i have an error editing the delivery address,shipping_info
correct data on standard account,account_help
how to request reimbursements of my money,return_refund
i do not know what to do to look for the bill 00108,payment_methods
i do not know what i have to do to check my invoice 00108,payment_methods
i need help solving errors with online paymnt,payment_methods
i need assistance to use the premium account,account_help
i can t register how could i report signup problems,account_help
how do i change some products of order,order_status
i try to see in which cases can i request to be refunded,return_refund
i expect a fucking ocmpensation of was it processed,return_refund
i have got to enter an delivery address help me,shipping_info
can you show me the withdrawal charge,general_support
i cannot make payments could i report a problem,payment_methods
i want help to check order status,order_status
supports changing my address,shipping_info
i need assistance with a shipping address update,shipping_info
i need information about the removal of a gold account,account_help
show me estimated time of arrival of order,order_status
ened help with cancelling purchase,order_cancel
i have paid for this item how to get my money back,return_refund
i can t open an account reportregistration issues,account_help
i have got to submit feedback for a service how to do it,general_support
can you help me shopping some items,order_status
can i check my bill 12588,payment_methods
how do i report issues with online paymnets,payment_methods
i cannot afford my last item how can i cancel the order,order_cancel
ihave got to receive ur damn company newsletter i need help,general_support
need assistance to find my fucking bill from,payment_methods
i cannot know if there are any updates on my damn refund,return_refund
check what hours i can contact customer support,contact_support
i need help to noptify of problems with online payments,payment_methods
why i cannot set the new shipping address valid up,shipping_info
can you help me to chat with an operator,contact_support
need help seeing my rebate status,return_refund
i need assistance takinmg a quick look at invoice 00108,payment_methods
i do not know what i need to do to talk with somebody,contact_support
i have an error updating my address,shipping_info
i want help seeing the fucking available payment methods,payment_methods
y i cannot enter my secondary shipping address valid,shipping_info
eta of oorder,order_status
i have a question about cancelling order,order_cancel
i can t find the early exit penalty will you help me,general_support
i try to obtain a reimbursement of my money,return_refund
i want to unsubscribe from the newsletter,general_support
how can i see how long it takes for the damn item to arrive,shipping_info
need assistance modifying theshipping address,shipping_info
i want to send feedback for your company help me,general_support
i cant see the compensation status,return_refund
can uhelp me see my reimbursement current status,return_refund
i need to speak to someone,contact_support
can uhelp me getting the bill from four last years,payment_methods
i have rpoblems setting the new delivery address up,shipping_info
find information about the deletion of a account,account_help
how do i check your available payment options,payment_methods
i need information about my company newsletter subscription,general_support
canceling pro account,account_help
i need to write an opinion about an service how to do it,general_support
i have got to receive your company newsletter how to do it,general_support
where do i enter the secondary shipping address,shipping_info
i want help to check the termination penalties,general_support
help me obtain a rebate of my money,return_refund
i have errors trying to edit the shippikng address,shipping_info
download ibll 37777,payment_methods
i paid for these products how to receive a refund,return_refund
question about opening a account,account_help
assistance to sign up to the company newsletter,account_help
need assistance to chat with an operator,contact_support
i want assistance to send some feedback about a service,general_support
i do not know how i can get my bill from,payment_methods
i have got to check the withdrawal penalty,general_support
i need assistance sending some feedback for a product,product_search
wanna locate purchase can i get some help,order_status
i do not know how i can list the allowed payment options,payment_methods
i need to recover my pssword,account_help
tell me about a delivery address update,shipping_info
could uhelp me check the cancellation penalty,general_support
i have got to see when my package is going to arrive,shipping_info
assistance filing a customer complaint against ur company,general_support
i have problems with the termination of a account,account_help
creatingnew account,account_help
i have to submit my new shipping address how to do it,shipping_info
i want to make a customer complaint,general_support
give me information about a lost pin,account_help
i do not want this item cancel order,order_cancel
i do not know how i can download my bills from,payment_methods
i have an error with my sign up,account_help
assistance to edit order,order_status
i don t know how to check how soon can i expect my product,shipping_info
i dont know what i need to do to speak with a live agent,contact_support
i have got to talk to customer support can i get some help,contact_support
can you help me seeing what payment methods are allowed,payment_methods
need assistance to ask for a compensation,return_refund
modify platinum account,account_help
wanna check order status,order_status
is it possible to see what shipping options i have,shipping_info
is it possible to seeur money back policy,return_refund
show me how long it takes for the product to arrive,shipping_info
i want help notifying of a error with a signup,account_help
i want assistance checking what delivery methods i have,shipping_info
where can i find information about the delivery periods,shipping_info
where can i submit my feedback for ur company,general_support
i need help with creating a account,account_help
i want assistance filing a complaint against ur business,general_support
i do nt know how i could set a different delivery address up,shipping_info
help using the freemium account,account_help
how do i subscribe to the corporate newsletter,general_support
i m trying to speak with an assistant,contact_support
assistance to check in whih cases can i ask for refunds,return_refund
i need to see how long it takes for the purchase to arrive,order_status
want assistance retrieving the password of my user,account_help
i need assistance to set the new delivery address up,shipping_info
i need help to obtain a reimbursement of my money,return_refund
i ain t happy with your work file a consumer claim,general_support
can you help me seeing the cancellation charge,general_support
using premium account,account_help
i dont know what i need to do to change to the pro account,account_help
i want help submitting my feedback about a service,general_support
i am not happy with your work i have to file a reclamation,general_support
can i swap something of order,order_status
need assistance ordering some of ur item,order_status
what do i hafe to do to check ur payment methods,payment_methods
help me sde how soon can i expect my item,shipping_info
what do i need to do to request a rebate,return_refund
can you help me notify of errors with payment,payment_methods
want assistance purchasing some of ur product,order_status
how to see the early termination fees,general_support
i want help receiving refunds of my money,return_refund
check invoice from,payment_methods
how to check my restitution status,return_refund
i am calling to see what shipping methods i have,shipping_info
i try to submit some feedback about your company,general_support
i need assistance notifying of errors with online payments,payment_methods
how can i check the status of the restitution,return_refund
i do not know how to report an issue wiht a sign up,account_help
i have to see at what time i can reach customer service,contact_support
i want assistance to looi for invoice 85632,payment_methods
i have to delete som items from purchase,order_status
i want help earning several articles,order_status
i want to retrieve my user account key,account_help
i need assistance with opening my gold account,account_help
look for bill 85632,payment_methods
i want help seeing what hours i can call customer support,contact_support
i want to modify the info on my user i need assistance,account_help
herlp to swap an article of order,order_status
i want assistance to see what shipment options are available,shipping_info
can uhelp me seeing the cancellation charge,general_support
i can t make a transfer i need to inform of payment issues,payment_methods
can i talk with someone,contact_support
i don t know how i can speak with an operator,contact_support
i cannot open a user help informing of sign up problems,account_help
where can i find information about the access key reset,account_help
question about opening standard accounts,account_help
checkbill 00108,payment_methods
where to pucrhase some items,order_status
i have got to notify of ah issue with a registration,account_help
i dont know how i can check the cancellation penalty,general_support
problems with a pin reset,account_help
i can t remembner my pass can you help me to retrieve it,account_help
help to speak with somebody,contact_support
my experience with you was terrible help me lodging a claim,general_support
i do not know how i can earn some products,order_status
uhave a method to submit an opinion for ur company,general_support
is it possible to leave a review about a service,general_support
problem with opening a account,account_help
help making a customer complaint against your business,general_support
where can i make a purchase,order_status
help me see under what circumstances can i request a refund,return_refund
i want assistance acquiring a few of ur article,order_status
could ya help me inform of troubles with payments,payment_methods
i dont know what i need to do to restore my profile key,account_help
how do i check the status of purchase,order_status
how tolodge a customer complaint,general_support
i cannot report issues with signup,account_help
hwy i cannot set up a shipping address valid,shipping_info
i cannot open an account how to report a sign up issue,account_help
there are troubles editing my shipping addrss,shipping_info
need to check the early exit fees,general_support
change details on standard account,account_help
wanna open a platinum account,account_help
i try to check at what time i can call customer service,contact_support
can ya help me to open a account for my dad,account_help
i try to open a standard account,account_help
i want help informing of a signup problem,account_help
i would like to track the restitution,return_refund
how to check how long it takes for the parcel to arrive,shipping_info
i need to check your reimbursement policy will you help me,return_refund
how doi see the early termination penalty,general_support
i cant pay i need help reporting problems with payments,payment_methods
i do not know how to look for my invoice from,payment_methods
i don t knwo what i have to do to cancel a premium account,account_help
assistance to delete my pro account,account_help
would it be possible to inform of damn errors with payments,payment_methods
where to inform of sign up issues,account_help
where can i check the cancellation penalties,general_support
could you help me editing the fucking data on my profile,account_help
is it possible to get rebates of money,return_refund
registration issue,account_help
need help to check ur accepted payment modalities,payment_methods
i m trying to notify of errors with signup,account_help
need assistance to see the withdrawal fee,general_support
how to report errors with payment,payment_methods
want assistance talking to an assistant,contact_support
help to chat with a damn operator,contact_support
i need assistanc canceling the newsletter subscription,general_support
can you help me to edit my account,account_help
how can i see when my delivery is going to arrive,shipping_info
help to contact a person,contact_support
can i report an issue with signup,account_help
i need to submit a shipping address can i get some help,shipping_info
i want assistance creating a standard account fr my fiance,account_help
can uhelpp me to order some of ur product,order_status
check bill 37777,payment_methods
help seeing in what situations can i request reimbursements,return_refund
i want help checking the early exit penalty,general_support
how do i shop some products,order_status
can you help me submit the secondary delivery address,shipping_info
want assistance to acquire an article,order_status
assistance giving a quick look at my bill from,payment_methods
could you help me to close my account,account_help
when am i gonna get a reimbursement,return_refund
want assistance using the profile,account_help
how can i make a customer complaint against your company,general_support
i have to see how long it takes for the packgae to arrive,shipping_info
wanna see the delivery options help me,shipping_info
i would like to report fucking errors with payment,payment_methods
i want information about modifying order,order_status
want help to correct the damn info included on my profile,account_help
i try to check what shipment methods i have,shipping_info
i have problems with the key reset,account_help
see eta ob order,order_status
i have got to restore my user acxcount pin code,account_help
i need help reporting errors with a signup,account_help
i ain t registered yet i need to create a damn pro account,account_help
the shipping address changed could ya help me changing it,shipping_info
i want help seeing the status of order,order_status
checking early exit charge,general_support
