text,intent
cart is not working,cart_checkout
cart page issue,cart_checkout
cart problem,cart_checkout
update cart,cart_checkout
remove item from cart,cart_checkout
delete product from cart,cart_checkout
increase quantity in cart,cart_checkout
decrease quantity in cart,cart_checkout
change product quantity,cart_checkout
how to checkout,cart_checkout
checkout problem,cart_checkout
checkout is not working,cart_checkout
i cannot checkout,cart_checkout
checkout button not working,cart_checkout
proceed to checkout,cart_checkout
payment page not opening,cart_checkout
order placing problem,cart_checkout
how to place order,cart_checkout
place order,cart_checkout
how can i order,cart_checkout
how can i buy product,cart_checkout
i want to buy this product,cart_checkout
buy now,cart_checkout
buy button not working,cart_checkout
how to complete order,cart_checkout
how to confirm order,cart_checkout
order confirmation problem,cart_checkout
checkout page error,cart_checkout

track my order,order_status
where is my order,order_status
order status,order_status
check my order,order_status
check order status,order_status
track order,order_status
track delivery,order_status
delivery status,order_status
shipping status of my order,order_status
my order delivery,order_status
has my order shipped,order_status
when will my order arrive,order_status
when will i receive my order,order_status
where is my parcel,order_status
where is my package,order_status
order tracking,order_status
show my order,order_status
show my orders,order_status
my order details,order_status
latest order status,order_status
i placed an order,order_status
i did not receive my order,order_status
my order is delayed,order_status
order not delivered,order_status
order is still pending,order_status
why my order is pending,order_status
has my order been confirmed,order_status
order confirmation status,order_status

cancel my order,order_cancel
cancel order,order_cancel
i want to cancel order,order_cancel
how to cancel order,order_cancel
can i cancel my order,order_cancel
cancel this order,order_cancel
cancel my recent order,order_cancel
cancel placed order,order_cancel
order cancellation,order_cancel
request order cancellation,order_cancel
stop my order,order_cancel
i ordered by mistake,order_cancel
i want to stop delivery,order_cancel
can i cancel before shipping,order_cancel
cancel order before delivery,order_cancel

return policy,return_refund
refund policy,return_refund
exchange policy,return_refund
return product,return_refund
refund product,return_refund
exchange product,return_refund
replace product,return_refund
can i return product,return_refund
can i exchange product,return_refund
can i get refund,return_refund
how to return product,return_refund
how to exchange product,return_refund
how to get refund,return_refund
i want refund,return_refund
i want to return item,return_refund
i want to exchange item,return_refund
product is damaged,return_refund
product is broken,return_refund
item is broken,return_refund
item is damaged,return_refund
wrong product received,return_refund
wrong item received,return_refund
received damaged product,return_refund
received wrong item,return_refund
product not working,return_refund
item not working,return_refund
return damaged product,return_refund
replace damaged product,return_refund
refund for damaged product,return_refund
how many days for return,return_refund
return time period,return_refund
refund time period,return_refund
refund status,return_refund
where is my refund,return_refund

payment methods,payment_methods
how can i pay,payment_methods
how to pay,payment_methods
payment options,payment_methods
available payment methods,payment_methods
cash on delivery,payment_methods
cod available,payment_methods
is cash on delivery available,payment_methods
do you accept card,payment_methods
card payment available,payment_methods
credit card payment,payment_methods
debit card payment,payment_methods
online payment,payment_methods
can i pay online,payment_methods
paypal available,payment_methods
stripe payment,payment_methods
bank transfer available,payment_methods
payment failed,payment_methods
payment not working,payment_methods
payment problem,payment_methods
payment error,payment_methods
my payment is pending,payment_methods
payment deducted but order not placed,payment_methods
money deducted but order failed,payment_methods
can i pay after delivery,payment_methods
can i use card on delivery,payment_methods
invoice issue,payment_methods
need invoice,payment_methods
download invoice,payment_methods
payment receipt,payment_methods

shipping information,shipping_info
delivery information,shipping_info
shipping details,shipping_info
delivery details,shipping_info
delivery time,shipping_info
shipping time,shipping_info
how long delivery takes,shipping_info
how many days for delivery,shipping_info
when will delivery arrive,shipping_info
do you deliver,shipping_info
do you deliver to my area,shipping_info
delivery available in my city,shipping_info
shipping available in my city,shipping_info
delivery charges,shipping_info
shipping charges,shipping_info
delivery fee,shipping_info
shipping fee,shipping_info
how much delivery fee,shipping_info
how much shipping cost,shipping_info
free delivery available,shipping_info
free shipping available,shipping_info
express delivery available,shipping_info
same day delivery available,shipping_info
international shipping,shipping_info
delivery delay,shipping_info
why delivery is late,shipping_info
where is delivery,shipping_info
shipping problem,shipping_info
delivery problem,shipping_info

i cannot login,account_help
cannot login,account_help
login problem,account_help
login issue,account_help
how to login,account_help
how can i login,account_help
forgot password,account_help
forget password,account_help
reset password,account_help
change password,account_help
password problem,account_help
wrong password,account_help
create account,account_help
register account,account_help
how to register,account_help
how to create account,account_help
sign up,account_help
signup problem,account_help
account issue,account_help
my account is blocked,account_help
profile update,account_help
update profile,account_help
change email,account_help
change phone number,account_help
change address,account_help
add shipping address,account_help
edit shipping address,account_help
delete account,account_help

contact support,contact_support
customer support,contact_support
talk to admin,contact_support
talk to support,contact_support
talk to human,contact_support
human support,contact_support
need support,contact_support
i need assistance,contact_support
i need customer care,contact_support
contact admin,contact_support
contact seller,contact_support
complaint,contact_support
i have complaint,contact_support
report issue,contact_support
report problem,contact_support
help center,contact_support
support number,contact_support
support email,contact_support
how to contact you,contact_support
how can i contact support,contact_support
connect me to support,contact_support
live chat support,contact_support
admin chat,contact_support

how to choose a good laptop,generic_shopping_advice
how to choose a good phone,generic_shopping_advice
how to choose a good mobile,generic_shopping_advice
how to compare products,generic_shopping_advice
how to compare mobile phones,generic_shopping_advice
how to compare laptops,generic_shopping_advice
what should i check before buying online,generic_shopping_advice
what should i check before buying laptop,generic_shopping_advice
what should i check before buying mobile,generic_shopping_advice
how to know product quality,generic_shopping_advice
how to select best product,generic_shopping_advice
how to choose reliable product,generic_shopping_advice
how to buy safe online,generic_shopping_advice
how to find best deal,generic_shopping_advice
how to check product reviews,generic_shopping_advice
should i buy cheap product,generic_shopping_advice
how to choose budget phone,generic_shopping_advice
how to choose gaming laptop,generic_shopping_advice
what is online shopping,generic_shopping_advice
what is warranty,generic_shopping_advice
what is product warranty,generic_shopping_advice
what is return warranty,generic_shopping_advice
which laptop is best,generic_shopping_advice
which phone is best,generic_shopping_advice
which product should i buy,generic_shopping_advice
recommend me a product,generic_shopping_advice
help me choose product,generic_shopping_advice

bye,goodbye
good bye,goodbye
goodbye,goodbye
thanks,goodbye
thank you,goodbye
thank you so much,goodbye
thanks for help,goodbye
thanks for your help,goodbye
ok thanks,goodbye
okay thanks,goodbye
done thanks,goodbye
that is all,goodbye
no more questions,goodbye
i am done,goodbye
see you,goodbye
see you later,goodbye
talk later,goodbye
okay bye,goodbye
close chat,goodbye
end chat,goodbye
have a nice day,goodbye
thank you assistant,goodbye
thanks chatbot,goodbye
